id,title,tagline,release_date,genres,belongs_to_collection,original_language,budget_musd,revenue_musd,production_companies,production_countries,vote_count,vote_average,popularity,runtime,overview,spoken_languages,poster_path,cast,cast_size,crew_size,director
862,Toy Story,,1995-10-30,Animation|Comedy|Family,Toy Story Collection,en,30.0,373.554033,Pixar Animation Studios,United States of America,5415.0,7.7,21.946943,81.0,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",English,<img src='http://image.tmdb.org/t/p/w185//uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg' style='height:100px;'>,Tom Hanks|Tim Allen|Don Rickles|Jim Varney|Wallace Shawn|John Ratzenberger|Annie Potts|John Morris|Erik von Detten|Laurie Metcalf|R. Lee Ermey|Sarah Freeman|Penn Jillette,13,106,John Lasseter
8844,Jumanji,Roll the dice and unleash the excitement!,1995-12-15,Adventure|Fantasy|Family,,en,65.0,262.797249,TriStar Pictures|Teitler Film|Interscope Communications,United States of America,2413.0,6.9,17.015539,104.0,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",English|Français,<img src='http://image.tmdb.org/t/p/w185//vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg' style='height:100px;'>,Robin Williams|Jonathan Hyde|Kirsten Dunst|Bradley Pierce|Bonnie Hunt|Bebe Neuwirth|David Alan Grier|Patricia Clarkson|Adam Hann-Byrd|Laura Bell Bundy|James Handy|Gillian Barber|Brandon Obray|Cyrus Thiedeke|Gary Joseph Thorup|Leonard Zola|Lloyd Berry|Malcolm Stewart|Annabel Kershaw|Darryl Henriques|Robyn Driscoll|Peter Bryant|Sarah Gilson|Florica Vlad|June Lion|Brenda Lockmuller,26,16,Joe Johnston
15602,Grumpier Old Men,Still Yelling. Still Fighting. Still Ready for Love.,1995-12-22,Romance|Comedy,Grumpy Old Men Collection,en,,,Warner Bros.|Lancaster Gate,United States of America,92.0,6.5,11.7129,101.0,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",English,<img src='http://image.tmdb.org/t/p/w185//1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg' style='height:100px;'>,Walter Matthau|Jack Lemmon|Ann-Margret|Sophia Loren|Daryl Hannah|Burgess Meredith|Kevin Pollak,7,4,Howard Deutch
31357,Waiting to Exhale,Friends are the people who let you be yourself... and never let you forget it.,1995-12-22,Comedy|Drama|Romance,,en,16.0,81.452156,Twentieth Century Fox Film Corporation,United States of America,34.0,6.1,3.859495,127.0,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",English,<img src='http://image.tmdb.org/t/p/w185//4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg' style='height:100px;'>,Whitney Houston|Angela Bassett|Loretta Devine|Lela Rochon|Gregory Hines|Dennis Haysbert|Michael Beach|Mykelti Williamson|Lamont Johnson|Wesley Snipes,10,10,Forest Whitaker
11862,Father of the Bride Part II,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,1995-02-10,Comedy,Father of the Bride Collection,en,,76.578911,Sandollar Productions|Touchstone Pictures,United States of America,173.0,5.7,8.387519000000001,106.0,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",English,<img src='http://image.tmdb.org/t/p/w185//lf9RTErt8BSLQy98aSFblElvsCQ.jpg' style='height:100px;'>,Steve Martin|Diane Keaton|Martin Short|Kimberly Williams-Paisley|George Newbern|Kieran Culkin|BD Wong|Peter Michael Goetz|Kate McGregor-Stewart|Jane Adams|Eugene Levy|Lori Alan,12,7,Charles Shyer
949,Heat,A Los Angeles Crime Saga,1995-12-15,Action|Crime|Drama|Thriller,,en,60.0,187.436818,Regency Enterprises|Forward Pass|Warner Bros.,United States of America,1886.0,7.7,17.924927,170.0,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",English|Español,<img src='http://image.tmdb.org/t/p/w185//lbf2ueoiEfKIJr2qlT01zIEckbC.jpg' style='height:100px;'>,"Al Pacino|Robert De Niro|Val Kilmer|Jon Voight|Tom Sizemore|Diane Venora|Amy Brenneman|Ashley Judd|Mykelti Williamson|Natalie Portman|Ted Levine|Tom Noonan|Tone Loc|Hank Azaria|Wes Studi|Dennis Haysbert|Danny Trejo|Henry Rollins|William Fichtner|Kevin Gage|Susan Traylor|Jerry Trimble|Ricky Harris|Jeremy Piven|Xander Berkeley|Begonya Plaza|Rick Avery|Hazelle Goodman|Ray Buktenica|Max Daniels|Vince Deadrick Jr.|Steven Ford|Farrah Forke|Patricia Healy|Paul Herman|Cindy Katz|Brian Libby|Dan Martin|Mario Roberts|Thomas Rosales, Jr.|Yvonne Zima|Mick Gould|Bud Cort|Viviane Vives|Kim Staunton|Martin Ferrero|Brad Baldridge|Andrew Camuccio|Kenny Endoso|Kimberly Flynn|Niki Harris|Bill McIntosh|Rick Marzan|Terry Miller|Daniel O'Haco|Kai Soremekun|Peter Blackwell|Trevor Coppola|Mary Kircher|Darin Mangan|Robert Miranda|Manny Perry|Iva Franks Singer|Tim Werner|Philip Ettington",65,71,Michael Mann
11860,Sabrina,You are cordially invited to the most surprising merger of the year.,1995-12-15,Comedy|Romance,,en,58.0,,Paramount Pictures|Scott Rudin Productions|Mirage Enterprises|Sandollar Productions|Constellation Entertainment|Worldwide|Mont Blanc Entertainment GmbH,Germany|United States of America,141.0,6.2,6.677277,127.0,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",Français|English,<img src='http://image.tmdb.org/t/p/w185//z1oNjotUI7D06J4LWQFQzdIuPnf.jpg' style='height:100px;'>,Harrison Ford|Julia Ormond|Greg Kinnear|Angie Dickinson|Nancy Marchand|John Wood|Richard Crenna|Lauren Holly|Dana Ivey|Fanny Ardant|Patrick Bruel|Paul Giamatti|Miriam Colón|Elizabeth Franz|Valérie Lemercier|Becky Ann Baker|John C. Vennema|Margo Martindale|J. Smith-Cameron|Christine Luneau-Lipton|Michael Dees|Denis Holmes|Jo-Jo Lowe|Ira Wheeler|Philippa Cooper|Ayako Kawahara|François Genty|Guillaume Gallienne|Inés Sastre|Phina Oruche|Andrea Behalikova|Jennifer Herrera|Kristina Kumlin|Eva Linderholm|Carmen Chaplin|Micheline Van de Velde|Joanna Rhodes|Alan Boone|Patrick Forster-Delmas|Kentaro Matsuo|Peter McKernan|Ed Connelly|Ronald L. Schwary|Alvin Lum|Siching Song|Phil Nee|Randy Becker|Susan Browning|Anthony Mondal|Peter Parks|Woodrow Asai|Eric Bruno Borgman|Michael Cline|Christopher Del Gaudio|Philippe Hartmann|Jerry Quinn|Dori Rosenthal,57,53,Sydney Pollack
45325,Tom and Huck,The Original Bad Boys.,1995-12-22,Action|Adventure|Drama|Family,,en,,,Walt Disney Pictures,United States of America,45.0,5.4,2.5611610000000002,97.0,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",English|Deutsch,<img src='http://image.tmdb.org/t/p/w185//6yoxUnUnWVmWkrRBPCAFARctZDF.jpg' style='height:100px;'>,Jonathan Taylor Thomas|Brad Renfro|Rachael Leigh Cook|Michael McShane|Amy Wright|Eric Schweig|Tamara Mello,7,4,Peter Hewitt
9091,Sudden Death,Terror goes into overtime.,1995-12-22,Action|Adventure|Thriller,,en,35.0,64.350171,Universal Pictures|Imperial Entertainment|Signature Entertainment,United States of America,174.0,5.5,5.23158,106.0,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",English,<img src='http://image.tmdb.org/t/p/w185//gV1VTRjT0hFjUxvs6vmfjR1ueoP.jpg' style='height:100px;'>,Jean-Claude Van Damme|Powers Boothe|Dorian Harewood|Raymond J. Barry|Ross Malinger|Whittni Wright,6,9,Peter Hyams
710,GoldenEye,No limits. No fears. No substitutes.,1995-11-16,Adventure|Action|Thriller,James Bond Collection,en,58.0,352.194034,United Artists|Eon Productions,United Kingdom|United States of America,1194.0,6.6,14.686035999999998,130.0,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,English|Pусский|Español,<img src='http://image.tmdb.org/t/p/w185//z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg' style='height:100px;'>,Pierce Brosnan|Sean Bean|Izabella Scorupco|Famke Janssen|Joe Don Baker|Judi Dench|Gottfried John|Robbie Coltrane|Alan Cumming|Tchéky Karyo|Desmond Llewelyn|Samantha Bond|Michael Kitchen|Serena Gordon|Simon Kunz|Billy J. Mitchell|Constantine Gregory|Minnie Driver|Michelle Arthur|Ravil Isyanov,20,46,Martin Campbell
