id,title,tagline,release_date,genres,belongs_to_collection,original_language,budget_musd,revenue_musd,production_companies,production_countries,vote_count,vote_average,popularity,runtime,overview,spoken_languages,poster_path
862,Toy Story,,1995-10-30,Animation|Comedy|Family,Toy Story Collection,en,30.0,373.554033,Pixar Animation Studios,United States of America,5415.0,7.7,21.946943,81.0,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",English,<img src='http://image.tmdb.org/t/p/w185//rhIRbceoE9lR4veEXuwCC2wARtG.jpg' style='height:100px;'>
8844,Jumanji,Roll the dice and unleash the excitement!,1995-12-15,Adventure|Fantasy|Family,,en,65.0,262.797249,TriStar Pictures|Teitler Film|Interscope Communications,United States of America,2413.0,6.9,17.015539,104.0,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",English|Français,<img src='http://image.tmdb.org/t/p/w185//vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg' style='height:100px;'>
15602,Grumpier Old Men,Still Yelling. Still Fighting. Still Ready for Love.,1995-12-22,Romance|Comedy,Grumpy Old Men Collection,en,,,Warner Bros.|Lancaster Gate,United States of America,92.0,6.5,11.7129,101.0,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",English,<img src='http://image.tmdb.org/t/p/w185//6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg' style='height:100px;'>
31357,Waiting to Exhale,Friends are the people who let you be yourself... and never let you forget it.,1995-12-22,Comedy|Drama|Romance,,en,16.0,81.452156,Twentieth Century Fox Film Corporation,United States of America,34.0,6.1,3.859495,127.0,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",English,<img src='http://image.tmdb.org/t/p/w185//16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg' style='height:100px;'>
11862,Father of the Bride Part II,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,1995-02-10,Comedy,Father of the Bride Collection,en,,76.578911,Sandollar Productions|Touchstone Pictures,United States of America,173.0,5.7,8.387519000000001,106.0,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",English,<img src='http://image.tmdb.org/t/p/w185//e64sOI48hQXyru7naBFyssKFxVd.jpg' style='height:100px;'>
949,Heat,A Los Angeles Crime Saga,1995-12-15,Action|Crime|Drama|Thriller,,en,60.0,187.436818,Regency Enterprises|Forward Pass|Warner Bros.,United States of America,1886.0,7.7,17.924927,170.0,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",English|Español,<img src='http://image.tmdb.org/t/p/w185//zMyfPUelumio3tiDKPffaUpsQTD.jpg' style='height:100px;'>
11860,Sabrina,You are cordially invited to the most surprising merger of the year.,1995-12-15,Comedy|Romance,,en,58.0,,Paramount Pictures|Scott Rudin Productions|Mirage Enterprises|Sandollar Productions|Constellation Entertainment|Worldwide|Mont Blanc Entertainment GmbH,Germany|United States of America,141.0,6.2,6.677277,127.0,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",Français|English,<img src='http://image.tmdb.org/t/p/w185//jQh15y5YB7bWz1NtffNZmRw0s9D.jpg' style='height:100px;'>
45325,Tom and Huck,The Original Bad Boys.,1995-12-22,Action|Adventure|Drama|Family,,en,,,Walt Disney Pictures,United States of America,45.0,5.4,2.5611610000000002,97.0,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",English|Deutsch,<img src='http://image.tmdb.org/t/p/w185//sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg' style='height:100px;'>
9091,Sudden Death,Terror goes into overtime.,1995-12-22,Action|Adventure|Thriller,,en,35.0,64.350171,Universal Pictures|Imperial Entertainment|Signature Entertainment,United States of America,174.0,5.5,5.23158,106.0,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",English,<img src='http://image.tmdb.org/t/p/w185//eoWvKD60lT95Ss1MYNgVExpo5iU.jpg' style='height:100px;'>
710,GoldenEye,No limits. No fears. No substitutes.,1995-11-16,Adventure|Action|Thriller,James Bond Collection,en,58.0,352.194034,United Artists|Eon Productions,United Kingdom|United States of America,1194.0,6.6,14.686035999999998,130.0,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,English|Pусский|Español,<img src='http://image.tmdb.org/t/p/w185//5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg' style='height:100px;'>
9087,The American President,Why can't the most powerful man in the world have the one thing he wants most?,1995-11-17,Comedy|Drama|Romance,,en,62.0,107.879496,Columbia Pictures|Castle Rock Entertainment,United States of America,199.0,6.5,6.318445,106.0,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",English,<img src='http://image.tmdb.org/t/p/w185//lymPNGLZgPHuqM29rKMGV46ANij.jpg' style='height:100px;'>
12110,Dracula: Dead and Loving It,,1995-12-22,Comedy|Horror,,en,,,Columbia Pictures|Castle Rock Entertainment|Enigma Pictures,France|United States of America,210.0,5.7,5.430331,88.0,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",English|Deutsch,<img src='http://image.tmdb.org/t/p/w185//xve4cgfYItnOhtzLYoTwTVy5FGr.jpg' style='height:100px;'>
21032,Balto,Part Dog. Part Wolf. All Hero.,1995-12-22,Family|Animation|Adventure,Balto Collection,en,,11.348324,Universal Pictures|Amblin Entertainment|Amblimation,United States of America,423.0,7.1,12.140733,78.0,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",English,<img src='http://image.tmdb.org/t/p/w185//gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg' style='height:100px;'>
10858,Nixon,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",1995-12-22,History|Drama,,en,44.0,13.681765,Hollywood Pictures|Cinergi Pictures Entertainment,United States of America,72.0,7.1,5.092,192.0,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",English,<img src='http://image.tmdb.org/t/p/w185//cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg' style='height:100px;'>
1408,Cutthroat Island,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,1995-12-22,Action|Adventure,,en,98.0,10.017322,Le Studio Canal+|Laurence Mark Productions|Metro-Goldwyn-Mayer (MGM)|Carolco Pictures,France|Germany|Italy|United States of America,137.0,5.7,7.284477000000001,119.0,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",English|Latin,<img src='http://image.tmdb.org/t/p/w185//odM9973kIv9hcjfHPp6g6BlyTIJ.jpg' style='height:100px;'>
524,Casino,No one stays at the top forever.,1995-11-22,Drama|Crime,,en,52.0,116.112375,Universal Pictures|Légende Entreprises|Syalis DA|De Fina-Cappa,France|United States of America,1343.0,7.8,10.137389,178.0,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,English,<img src='http://image.tmdb.org/t/p/w185//xo517ibXBDdYQY81j0WIG7BVcWq.jpg' style='height:100px;'>
4584,Sense and Sensibility,Lose your heart and come to your senses.,1995-12-13,Drama|Romance,,en,16.5,135.0,Columbia Pictures Corporation|Mirage Enterprises,United Kingdom|United States of America,364.0,7.2,10.673167,136.0,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",English,<img src='http://image.tmdb.org/t/p/w185//lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg' style='height:100px;'>
5,Four Rooms,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",1995-12-09,Crime|Comedy,,en,4.0,4.3,Miramax Films|A Band Apart,United States of America,539.0,6.5,9.026586,98.0,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,English,<img src='http://image.tmdb.org/t/p/w185//eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg' style='height:100px;'>
