Year,Name,Gender,Count
1880,Mary,F,7065
1880,Anna,F,2604
1880,Emma,F,2003
1880,Elizabeth,F,1939
1880,Minnie,F,1746
1880,Margaret,F,1578
1880,Ida,F,1472
1880,Alice,F,1414
1880,Bertha,F,1320
1880,Sarah,F,1288
1880,Annie,F,1258
1880,Clara,F,1226
1880,Ella,F,1156
1880,Florence,F,1063
1880,Cora,F,1045
1880,Martha,F,1040
1880,Laura,F,1012
1880,Nellie,F,995
1880,Grace,F,982
1880,Carrie,F,949
1880,Maude,F,859
1880,Mabel,F,808
1880,Bessie,F,796
1880,Jennie,F,793
1880,Gertrude,F,787
1880,Julia,F,783
1880,Hattie,F,769
1880,Edith,F,768
1880,Mattie,F,704
1880,Rose,F,700
1880,Catherine,F,688
1880,Lillian,F,672
1880,Ada,F,652
1880,Lillie,F,647
1880,Helen,F,636
1880,Jessie,F,635
1880,Louise,F,635
1880,Ethel,F,633
1880,Lula,F,621
1880,Myrtle,F,615
1880,Eva,F,614
1880,Frances,F,605
1880,Lena,F,603
1880,Lucy,F,590
1880,Edna,F,588
1880,Maggie,F,582
1880,Pearl,F,569
1880,Daisy,F,564
1880,Fannie,F,560
1880,Josephine,F,544
1880,Dora,F,524
1880,Rosa,F,507
1880,Katherine,F,502
1880,Agnes,F,473
1880,Marie,F,471
1880,Nora,F,471
1880,May,F,462
1880,Mamie,F,436
1880,Blanche,F,427
1880,Stella,F,414
1880,Ellen,F,411
1880,Nancy,F,410
1880,Effie,F,406
1880,Sallie,F,404
1880,Nettie,F,403
1880,Della,F,391
1880,Lizzie,F,388
1880,Flora,F,365
1880,Susie,F,361
1880,Maud,F,345
1880,Mae,F,344
1880,Etta,F,323
1880,Harriet,F,319
1880,Sadie,F,317
1880,Caroline,F,306
1880,Katie,F,303
1880,Lydia,F,302
1880,Elsie,F,301
1880,Kate,F,299
1880,Susan,F,286
1880,Mollie,F,283
1880,Alma,F,277
1880,Addie,F,274
1880,Georgia,F,259
1880,Eliza,F,252
1880,Lulu,F,249
1880,Nannie,F,248
1880,Lottie,F,245
1880,Amanda,F,241
1880,Belle,F,238
1880,Charlotte,F,237
1880,Rebecca,F,236
1880,Ruth,F,234
1880,Viola,F,229
1880,Olive,F,224
1880,Amelia,F,221
1880,Hannah,F,221
1880,Jane,F,215
1880,Virginia,F,213
